20090327-080859 : Mandatory attributes:
20090327-080903 : 	147	msRASSavedFramedIPAddress	 [Syntax: INTEGER]	 Single-valued
20090327-080903 : 	148	msRASSavedFramedRoute	 [Syntax: IA5String]	 Multivalued
20090327-080903 : 	149	name	 [Syntax: DirectoryString]	 Single-valued
20090327-080903 : 	150	netbootSCPBL	 [Syntax: DN]	 Multivalued
20090327-080903 : 	151	networkAddress	 [Syntax: CaseIgnoreString]	 Multivalued
20090327-080903 : 	152	nonSecurityMemberBL	 [Syntax: DN]	 Multivalued
20090327-080903 : 	153	ntPwdHistory	 [Syntax: OctetString]	 Multivalued
20090327-080903 : 	154	o	 [Syntax: DirectoryString]	 Multivalued
20090327-080903 : 	155	objectGUID	 [Syntax: OctetString]	 Single-valued
20090327-080903 : 	156	objectVersion	 [Syntax: INTEGER]	 Single-valued
20090327-080903 : 	157	operatorCount	 [Syntax: INTEGER]	 Single-valued
20090327-080903 : 	158	otherFacsimileTelephoneNumber	 [Syntax: DirectoryString]	 Multivalued
20090327-080903 : 	159	otherHomePhone	 [Syntax: DirectoryString]	 Multivalued
20090327-080903 : 	160	otherIpPhone	 [Syntax: DirectoryString]	 Multivalued
20090327-080903 : 	161	otherLoginWorkstations	 [Syntax: DirectoryString]	 Multivalued
20090327-080903 : 	162	otherMailbox	 [Syntax: DirectoryString]	 Multivalued
20090327-080903 : 	163	otherMobile	 [Syntax: DirectoryString]	 Multivalued
20090327-080903 : 	164	otherPager	 [Syntax: DirectoryString]	 Multivalued
20090327-080903 : 	165	otherTelephone	 [Syntax: DirectoryString]	 Multivalued
20090327-080903 : 	166	otherWellKnownObjects	 [Syntax: DNWithBinary]	 Multivalued
20090327-080903 : 	167	ou	 [Syntax: DirectoryString]	 Multivalued
20090327-080903 : 	168	ownerBL	 [Syntax: DN]	 Multivalued
20090327-080903 : 	169	pager	 [Syntax: DirectoryString]	 Single-valued
20090327-080903 : 	170	partialAttributeDeletionList	 [Syntax: OctetString]	 Single-valued
20090327-080903 : 	171	partialAttributeSet	 [Syntax: OctetString]	 Single-valued
20090327-080903 : 	172	personalTitle	 [Syntax: DirectoryString]	 Single-valued
20090327-080903 : 	173	photo	 [Syntax: OctetString]	 Multivalued
20090327-080903 : 	174	physicalDeliveryOfficeName	 [Syntax: DirectoryString]	 Single-valued
20090327-080903 : 	175	possibleInferiors	 [Syntax: OID]	 Multivalued
20090327-080903 : 	176	postalAddress	 [Syntax: DirectoryString]	 Multivalued
20090327-080903 : 	177	postalCode	 [Syntax: DirectoryString]	 Single-valued
20090327-080903 : 	178	postOfficeBox	 [Syntax: DirectoryString]	 Multivalued
20090327-080903 : 	179	preferredDeliveryMethod	 [Syntax: INTEGER]	 Multivalued
20090327-080903 : 	180	preferredLanguage	 [Syntax: DirectoryString]	 Single-valued
20090327-080903 : 	181	preferredOU	 [Syntax: DN]	 Single-valued
20090327-080903 : 	182	primaryGroupID	 [Syntax: INTEGER]	 Single-valued
20090327-080904 : 	183	primaryInternationalISDNNumber	 [Syntax: DirectoryString]	 Single-valued
20090327-080904 : 	184	primaryTelexNumber	 [Syntax: DirectoryString]	 Single-valued
20090327-080904 : 	185	profilePath	 [Syntax: DirectoryString]	 Single-valued
20090327-080904 : 	186	proxiedObjectName	 [Syntax: DNWithBinary]	 Single-valued
20090327-080904 : 	187	proxyAddresses	 [Syntax: DirectoryString]	 Multivalued
20090327-080904 : 	188	pwdLastSet	 [Syntax: INTEGER8]	 Single-valued
20090327-080904 : 	189	queryPolicyBL	 [Syntax: DN]	 Multivalued
20090327-080904 : 	190	registeredAddress	 [Syntax: OctetString]	 Multivalued
20090327-080904 : 	191	replPropertyMetaData	 [Syntax: OctetString]	 Single-valued
20090327-080904 : 	192	replUpToDateVector	 [Syntax: OctetString]	 Single-valued
20090327-080904 : 	193	repsFrom	 [Syntax: OctetString]	 Multivalued
20090327-080904 : 	194	repsTo	 [Syntax: OctetString]	 Multivalued
20090327-080904 : 	195	revision	 [Syntax: INTEGER]	 Single-valued
20090327-080904 : 	196	rid	 [Syntax: INTEGER]	 Single-valued
20090327-080904 : 	197	roomNumber	 [Syntax: DirectoryString]	 Multivalued
20090327-080904 : 	198	sAMAccountType	 [Syntax: INTEGER]	 Single-valued
20090327-080904 : 	199	scriptPath	 [Syntax: DirectoryString]	 Single-valued
20090327-080904 : 	200	sDRightsEffective	 [Syntax: INTEGER]	 Single-valued
20090327-080904 : 	201	secretary	 [Syntax: DN]	 Multivalued
20090327-080904 : 	202	securityIdentifier	 [Syntax: OctetString]	 Single-valued
20090327-080904 : 	203	seeAlso	 [Syntax: DN]	 Multivalued
20090327-080904 : 	204	serialNumber	 [Syntax: PrintableString]	 Multivalued
20090327-080904 : 	205	serverReferenceBL	 [Syntax: DN]	 Multivalued
20090327-080904 : 	206	servicePrincipalName	 [Syntax: DirectoryString]	 Multivalued
20090327-080904 : 	207	showInAddressBook	 [Syntax: DN]	 Multivalued
20090327-080904 : 	208	showInAdvancedViewOnly	 [Syntax: Boolean]	 Single-valued
20090327-080904 : 	209	sIDHistory	 [Syntax: OctetString]	 Multivalued
20090327-080904 : 	210	siteObjectBL	 [Syntax: DN]	 Multivalued
20090327-080904 : 	211	sn	 [Syntax: DirectoryString]	 Single-valued
20090327-080904 : 	212	st	 [Syntax: DirectoryString]	 Single-valued
20090327-080904 : 	213	street	 [Syntax: DirectoryString]	 Single-valued
20090327-080904 : 	214	streetAddress	 [Syntax: DirectoryString]	 Single-valued
20090327-080904 : 	215	structuralObjectClass	 [Syntax: OID]	 Multivalued
20090327-080904 : 	216	subRefs	 [Syntax: DN]	 Multivalued
20090327-080904 : 	217	subSchemaSubEntry	 [Syntax: DN]	 Multivalued
20090327-080904 : 	218	supplementalCredentials	 [Syntax: OctetString]	 Multivalued
20090327-080904 : 	219	systemFlags	 [Syntax: INTEGER]	 Single-valued
20090327-080904 : 	220	telephoneNumber	 [Syntax: DirectoryString]	 Single-valued
20090327-080904 : 	221	teletexTerminalIdentifier	 [Syntax: OctetString]	 Multivalued
20090327-080904 : 	222	telexNumber	 [Syntax: OctetString]	 Multivalued
20090327-080905 : 	223	terminalServer	 [Syntax: OctetString]	 Single-valued
20090327-080905 : 	224	textEncodedORAddress	 [Syntax: DirectoryString]	 Single-valued
20090327-080905 : 	225	thumbnailLogo	 [Syntax: OctetString]	 Single-valued
20090327-080905 : 	226	thumbnailPhoto	 [Syntax: OctetString]	 Single-valued
20090327-080905 : 	227	title	 [Syntax: DirectoryString]	 Single-valued
20090327-080905 : 	228	tokenGroups	 [Syntax: OctetString]	 Multivalued
20090327-080905 : 	229	tokenGroupsGlobalAndUniversal	 [Syntax: OctetString]	 Multivalued
20090327-080905 : 	230	tokenGroupsNoGCAcceptable	 [Syntax: OctetString]	 Multivalued
20090327-080905 : 	231	uid	 [Syntax: DirectoryString]	 Multivalued
20090327-080905 : 	232	unicodePwd	 [Syntax: OctetString]	 Single-valued
20090327-080905 : 	233	url	 [Syntax: DirectoryString]	 Multivalued
20090327-080905 : 	234	userAccountControl	 [Syntax: INTEGER]	 Single-valued
20090327-080905 : 	235	userCert	 [Syntax: OctetString]	 Single-valued
20090327-080905 : 	236	userCertificate	 [Syntax: OctetString]	 Multivalued
20090327-080905 : 	237	userParameters	 [Syntax: DirectoryString]	 Single-valued
20090327-080905 : 	238	userPassword	 [Syntax: OctetString]	 Multivalued
20090327-080905 : 	239	userPKCS12	 [Syntax: OctetString]	 Multivalued
20090327-080905 : 	240	userPrincipalName	 [Syntax: DirectoryString]	 Single-valued
20090327-080905 : 	241	userSharedFolder	 [Syntax: DirectoryString]	 Single-valued
20090327-080905 : 	242	userSharedFolderOther	 [Syntax: DirectoryString]	 Multivalued
20090327-080905 : 	243	userSMIMECertificate	 [Syntax: OctetString]	 Multivalued
20090327-080905 : 	244	userWorkstations	 [Syntax: DirectoryString]	 Single-valued
20090327-080905 : 	245	uSNChanged	 [Syntax: INTEGER8]	 Single-valued
20090327-080905 : 	246	uSNCreated	 [Syntax: INTEGER8]	 Single-valued
20090327-080905 : 	247	uSNDSALastObjRemoved	 [Syntax: INTEGER8]	 Single-valued
20090327-080905 : 	248	USNIntersite	 [Syntax: INTEGER]	 Single-valued
20090327-080905 : 	249	uSNLastObjRem	 [Syntax: INTEGER8]	 Single-valued
20090327-080905 : 	250	uSNSource	 [Syntax: INTEGER8]	 Single-valued
20090327-080905 : 	251	wbemPath	 [Syntax: DirectoryString]	 Multivalued
20090327-080905 : 	252	wellKnownObjects	 [Syntax: DNWithBinary]	 Multivalued
20090327-080905 : 	253	whenChanged	 [Syntax: GeneralizedTime]	 Single-valued
20090327-080905 : 	254	whenCreated	 [Syntax: GeneralizedTime]	 Single-valued
20090327-080905 : 	255	wWWHomePage	 [Syntax: DirectoryString]	 Single-valued
20090327-080905 : 	256	x121Address	 [Syntax: NumericString]	 Multivalued
20090327-080905 : 	257	x500uniqueIdentifier	 [Syntax: OctetString]	 Multivalued
