ActiveTime,ClientType,ComputerName,Description,IdleTime,InstallDate,Name,ResourcesOpened,SessionType,Status,TransportName,UserName
17477,"Windows Server 2003 3790 Service Pack 1","172.18.128.8","",0,,"",15,2,"","\Device\NetbiosSmb","JJ77204",
17418,"Windows 2002 Service Pack 3 2600","B444","",17239,,"",1,2,"","\Device\NetBT_Tcpip_{EC8A3CA5-F812-4C0A-9C61-91EB4B6A22C9}","RS56529",
17378,"Windows Server 2003 3790 Service Pack 1","172.18.128.2","",0,,"",13,2,"","\Device\NetbiosSmb","PO34620",
17235,"Windows 2000 2195","192.168.31.195","",17059,,"",0,2,"","\Device\NetbiosSmb","JR39411",
17203,"Windows Server 2003 3790 Service Pack 1","VCS024","",0,,"",7,2,"","\Device\NetBT_Tcpip_{EC8A3CA5-F812-4C0A-9C61-91EB4B6A22C9}","GG78395",
17154,"Windows 2002 Service Pack 3 2600","B42D","",8140,,"",0,2,"","\Device\NetBT_Tcpip_{EC8A3CA5-F812-4C0A-9C61-91EB4B6A22C9}","FM77373",
17136,"Windows Server 2003 3790 Service Pack 1","VCS023","",0,,"",5,2,"","\Device\NetBT_Tcpip_{EC8A3CA5-F812-4C0A-9C61-91EB4B6A22C9}","AG58139",
17119,"Windows 2000 2195","172.18.0.232","",104,,"",11,2,"","\Device\NetbiosSmb","WK38310",
17082,"Windows 2000 2195","172.18.0.228","",9182,,"",0,2,"","\Device\NetbiosSmb","GJ58488",
17080,"Windows 2000 2195","172.18.0.230","",255,,"",9,2,"","\Device\NetbiosSmb","LP76213",
17068,"Windows Server 2003 3790 Service Pack 1","172.18.128.3","",0,,"",4,2,"","\Device\NetbiosSmb","MM75373",
17042,"Windows Server 2003 3790 Service Pack 1","VCS022","",0,,"",7,2,"","\Device\NetBT_Tcpip_{EC8A3CA5-F812-4C0A-9C61-91EB4B6A22C9}","JL38270",
17041,"Windows 2000 2195","172.18.0.227","",75,,"",0,2,"","\Device\NetbiosSmb","HW75587",
17027,"Windows Server 2003 3790 Service Pack 1","172.18.128.4","",0,,"",5,2,"","\Device\NetbiosSmb","JB79933",
16982,"Windows Server 2003 3790 Service Pack 1","172.18.128.12","",0,,"",16,2,"","\Device\NetbiosSmb","HD76628",
16974,"Windows Server 2003 3790 Service Pack 1","172.18.128.8","",0,,"",5,2,"","\Device\NetbiosSmb","FU75180",
16916,"Windows 2000 2195","172.18.0.231","",141,,"",10,2,"","\Device\NetbiosSmb","MM77285",
