20080526-115714 : EDIprod ; %UserProfileCitrix%\EDIprod
20080526-115715 : EF90305 ; %UserProfileCitrix%\EF90305
20080526-115715 : EG29437 ; %UserProfileCitrix%\EG29437
20080526-115715 : EGE5044 ; %UserProfileCitrix%\EGE5044
20080526-115716 : EH77539 ; %UserProfileCitrix%\EH77539
20080526-115716 : EH78932 ; %UserProfileCitrix%\EH78932
20080526-115717 : EHE1799 ; %UserProfileCitrix%\EHE1799
20080526-115717 : EJ77332 ; %UserProfileCitrix%\EJ77332
20080526-115717 : EKE1386 ; %UserProfileCitrix%\EKE1386
20080526-115718 : EM58634 ; %UserProfileCitrix%\EM58634
20080526-115718 : EM77503 ; %UserProfileCitrix%\EM77503
20080526-115718 : EP30546 ; %UserProfileCitrix%\EP30546
20080526-115719 : EP76513 ; %UserProfileCitrix%\EP76513
20080526-115719 : EP77461 ; %UserProfileCitrix%\EP77461
20080526-115719 : ES34165 ; %UserProfileCitrix%\ES34165
20080526-115720 : ES37929 ; %UserProfileCitrix%\ES37929
20080526-115720 : ES57695 ; %UserProfileCitrix%\ES57695
20080526-115720 : ES78821 ; %UserProfileCitrix%\ES78821
20080526-115721 : ES79392 ; %UserProfileCitrix%\ES79392
20080526-115721 : EVE1700 ; %UserProfileCitrix%\EVE1700
20080526-115722 : EW77628 ; %UserProfileCitrix%\EW77628
20080526-115722 : EYE0001 ; %UserProfileCitrix%\EYE0001
20080526-115722 : EYE0002 ; %UserProfileCitrix%\EYE0002
20080526-115723 : FA75664 ; %UserProfileCitrix%\FA75664
20080526-115723 : FB36673 ; %UserProfileCitrix%\FB36673
20080526-115723 : FB58758 ; %UserProfileCitrix%\FB58758
20080526-115724 : FB59222 ; %UserProfileCitrix%\FB59222
20080526-115724 : FB82028 ; %UserProfileCitrix%\FB82028
20080526-115725 : FBE1776 ; %UserProfileCitrix%\FBE1776
20080526-115725 : FC57224 ; %UserProfileCitrix%\FC57224
20080526-115725 : FC78716 ; %UserProfileCitrix%\FC78716
